time,lat,lon,depth,sbact_cmore,Unit,picoprokaryote,picoprokaryote_std,target_unit
2010-12-09T00:00:00,-26.2482833333333,-103.96075,18,0.003,[cells/mL (X 10^5)],0.11368520464748144,0.0039102771438130745, [mmol C/m^3]
2010-12-09T00:00:00,-26.2482833333333,-103.96075,37,0.005,[cells/mL (X 10^5)],0.11229418497532606,0.004327118363248608, [mmol C/m^3]
2010-12-09T00:00:00,-26.2482833333333,-103.96075,50,0.009000000000000001,[cells/mL (X 10^5)],0.10219552600756288,0.007618807902598126, [mmol C/m^3]
2010-12-09T00:00:00,-26.2482833333333,-103.96075,70,0.005,[cells/mL (X 10^5)],0.09646957274526358,0.009694018462648665, [mmol C/m^3]
2010-12-09T00:00:00,-26.2482833333333,-103.96075,93,0.006,[cells/mL (X 10^5)],0.09594109281897545,0.010746027075206308, [mmol C/m^3]
2010-12-09T00:00:00,-26.2482833333333,-103.96075,122,0.004,[cells/mL (X 10^5)],,, [mmol C/m^3]
2010-12-09T00:00:00,-26.2482833333333,-103.96075,160,0.001,[cells/mL (X 10^5)],,, [mmol C/m^3]
2010-12-09T00:00:00,-26.2482833333333,-103.96075,406,0.0,[cells/mL (X 10^5)],2.2235830687833413e-07,2.4878760214225445e-07, [mmol C/m^3]
2010-12-10T00:00:00,-26.248333333333306,-103.96075,90,0.006999999999999999,[cells/mL (X 10^5)],0.0956686781719327,0.010712956533193606, [mmol C/m^3]
2010-12-10T00:00:00,-26.248333333333306,-103.96075,100,0.006,[cells/mL (X 10^5)],0.09594109281897545,0.010746027075206308, [mmol C/m^3]
2010-12-10T00:00:00,-26.248333333333306,-103.96075,110,0.008,[cells/mL (X 10^5)],0.09633135702461004,0.01070208258443264, [mmol C/m^3]
2010-12-10T00:00:00,-26.248333333333306,-103.96075,120,0.006999999999999999,[cells/mL (X 10^5)],0.0966777354478836,0.010651831829211145, [mmol C/m^3]
2010-12-10T00:00:00,-26.248333333333306,-103.96075,130,0.002,[cells/mL (X 10^5)],0.09694518055766821,0.01056126677669498, [mmol C/m^3]
2010-12-10T00:00:00,-26.248333333333306,-103.96075,140,0.001,[cells/mL (X 10^5)],0.0971243092790246,0.01034652708539485, [mmol C/m^3]
2010-12-10T00:00:00,-26.248333333333306,-103.96075,150,0.0,[cells/mL (X 10^5)],0.09719729702919722,0.009773501135766728, [mmol C/m^3]
2010-12-10T00:00:00,-26.248333333333306,-103.96075,160,0.0,[cells/mL (X 10^5)],,, [mmol C/m^3]
2010-12-10T00:00:00,-26.248333333333306,-103.96075,170,0.0,[cells/mL (X 10^5)],0.09827304631471634,0.007820493620674001, [mmol C/m^3]
2010-12-10T00:00:00,-26.248333333333306,-103.96075,180,0.0,[cells/mL (X 10^5)],,, [mmol C/m^3]
2010-12-10T00:00:00,-26.248333333333306,-103.96075,190,0.001,[cells/mL (X 10^5)],0.10409479402005672,0.002608608889130441, [mmol C/m^3]
2010-12-10T00:00:00,-26.248333333333306,-103.96075,210,0.0,[cells/mL (X 10^5)],,, [mmol C/m^3]
2010-12-10T00:00:00,-26.248333333333306,-103.96075,230,0.0,[cells/mL (X 10^5)],,, [mmol C/m^3]
2010-12-11T00:00:00,-26.248366666666602,-103.9608,19,0.003,[cells/mL (X 10^5)],0.11334639228880405,0.004371677835421371, [mmol C/m^3]
2010-12-11T00:00:00,-26.248366666666602,-103.9608,37,0.006,[cells/mL (X 10^5)],0.11148124933242798,0.004789751113227244, [mmol C/m^3]
2010-12-11T00:00:00,-26.248366666666602,-103.9608,51,0.01,[cells/mL (X 10^5)],0.09848436526954174,0.008788366580003603, [mmol C/m^3]
2010-12-11T00:00:00,-26.248366666666602,-103.9608,72,0.008,[cells/mL (X 10^5)],0.09490484744310379,0.011297463724609588, [mmol C/m^3]
2010-12-11T00:00:00,-26.248366666666602,-103.9608,94,0.006,[cells/mL (X 10^5)],0.09511878713965416,0.011606144282856405, [mmol C/m^3]
2010-12-11T00:00:00,-26.248366666666602,-103.9608,122,0.004,[cells/mL (X 10^5)],,, [mmol C/m^3]
2010-12-11T00:00:00,-26.248366666666602,-103.9608,155,0.001,[cells/mL (X 10^5)],0.09636133350431919,0.010534712267599406, [mmol C/m^3]
