time,lat,lon,depth,ProChl_Chisholm,Unit,picoprokaryote,picoprokaryote_std,target_unit
2010-12-09T00:00:00,-26.2483,-103.96076666666599,220,0.157112651,],0.11409405060112476,0.009732667336729357, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,235,0.199134091,],,, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,250,0.196459605,],,, [mmol C/m^3]
2010-12-10T00:00:00,-26.248333333333306,-103.96075,130,0.014437393,],0.09694518055766821,0.01056126677669498, [mmol C/m^3]
2010-12-10T00:00:00,-26.248333333333306,-103.96075,140,0.021153962,],0.0971243092790246,0.01034652708539485, [mmol C/m^3]
2010-12-10T00:00:00,-26.248333333333306,-103.96075,150,0.036992777,],0.09719729702919722,0.009773501135766728, [mmol C/m^3]
2010-12-10T00:00:00,-26.248333333333306,-103.96075,160,0.050573334000000005,],,, [mmol C/m^3]
2010-12-10T00:00:00,-26.248333333333306,-103.96075,180,0.086512818,],,, [mmol C/m^3]
2010-12-10T00:00:00,-26.248333333333306,-103.96075,210,0.12213285,],,, [mmol C/m^3]
2010-12-10T00:00:00,-26.248333333333306,-103.96075,240,0.186346039,],,, [mmol C/m^3]
